Unnamed: 0,Unnamed: 1,Alliance,Systems,Members,Corps,Unnamed: 6,Unnamed: 7,Unnamed: 8
189.0,,No Forks Given,0.0,558.0,7.0,,,
190.0,,Wrong Hole.,0.0,558.0,9.0,,,
191.0,,CONVERT OR DIE,0.0,550.0,5.0,,,
192.0,,The Craftsmen,0.0,550.0,12.0,,,
193.0,,P A R A B E L L U M,0.0,540.0,5.0,,,
194.0,,Beyond the Breach,0.0,535.0,4.0,,,
195.0,,Special Planetary Emergency Response Group,0.0,534.0,3.0,,,
196.0,,Vevere,0.0,530.0,31.0,,,
197.0,,UNREAL Academy,0.0,525.0,7.0,,,
198.0,,Against ALL Authorities,0.0,519.0,16.0,,,
199.0,,Le Consortium Horizon,0.0,516.0,2.0,,,
200.0,,Nisuwa Cartel,0.0,515.0,9.0,,,
201.0,,Wolves Amongst Strangers,0.0,515.0,2.0,,,
202.0,,CAStabouts,0.0,513.0,96.0,,,
203.0,,Outer Planets Association,0.0,510.0,29.0,,,
204.0,,A Band Apart.,0.0,506.0,6.0,,,
205.0,,Holesale Operations,0.0,506.0,23.0,,,
206.0,,Commonwealth Vanguard,0.0,503.0,8.0,,,
207.0,,TIME CRIT,0.0,503.0,3.0,,,
208.0,,DammFam,0.0,501.0,32.0,,,
209.0,,LowSechnaya Sholupen,0.0,499.0,19.0,,,
210.0,,Silentium Consortium,0.0,499.0,9.0,,,
211.0,,Khimi Harar,0.0,494.0,17.0,,,
212.0,,Singularity Syndicate,0.0,494.0,7.0,,,
213.0,,Ministry of Inappropriate Footwork,0.0,491.0,11.0,,,
214.0,,7.62,0.0,485.0,20.0,,,
215.0,,CeskoSlovenska Aliance,0.0,482.0,8.0,,,
216.0,,Holy Arumbian Empire,0.0,467.0,1.0,,,
217.0,,Siege Green Friends,0.0,462.0,32.0,,,
218.0,,Domain Research and Mining Inst. Logistics,0.0,459.0,18.0,,,
219.0,,The Marmite Collective,0.0,457.0,2.0,,,
220.0,,Re.Huo,0.0,455.0,2.0,,,
221.0,,ISK.Enterprises,0.0,444.0,26.0,,,
222.0,,Interstellar Coalition of Busy Pilot People,0.0,443.0,5.0,,,
223.0,,CODE.,0.0,440.0,57.0,,,
224.0,,Green Tea Alliance,0.0,436.0,1.0,,,
225.0,,Red Panda Squad,0.0,436.0,15.0,,,
226.0,,Rote Works,0.0,435.0,51.0,,,
227.0,,ROFF Alliance,0.0,433.0,1.0,,,
228.0,,Wrecking Machine.,0.0,433.0,13.0,,,
229.0,,4Crabs Tavern,0.0,430.0,7.0,,,
230.0,,Scary Wormhole People,0.0,429.0,9.0,,,
231.0,,Verged,0.0,429.0,15.0,,,
232.0,,Absolute Glory,0.0,425.0,18.0,,,
233.0,,Imperial Shadow Legion,0.0,425.0,13.0,,,
234.0,,Weyland Industries.,0.0,424.0,3.0,,,
235.0,,Outfoxed,0.0,421.0,4.0,,,
236.0,,SL0W CHILDREN AT PLAY,0.0,421.0,8.0,,,
237.0,,The Army of Mango Alliance,0.0,419.0,8.0,,,
238.0,,Mutual Attraction,0.0,415.0,15.0,,,
239.0,,Ishuk-Raata Enforcement Directive,0.0,408.0,15.0,,,
